Data da Retirada,SKU (frango),Kg a Retirar (Caixas),Kg em Descongelamento (pronto amanhã),Kg Disponível para Venda Hoje (virtual),Projeção de Perdas (Kg/Caixas)
23/06/2025,00000,126.70 kg (9 cx),128.25 kg,120.71 kg,0.00 kg (0 cx)
24/06/2025,00000,133.59 kg (9 cx),126.70 kg,128.25 kg,0.00 kg (0 cx)
25/06/2025,00000,127.94 kg (9 cx),133.59 kg,126.70 kg,0.00 kg (0 cx)
26/06/2025,00000,128.36 kg (9 cx),127.94 kg,133.59 kg,0.00 kg (0 cx)
27/06/2025,00000,127.18 kg (9 cx),128.36 kg,127.94 kg,0.00 kg (0 cx)
28/06/2025,00000,121.25 kg (8 cx),127.18 kg,128.36 kg,0.00 kg (0 cx)
29/06/2025,00000,128.79 kg (9 cx),121.25 kg,127.18 kg,0.00 kg (0 cx)
30/06/2025,00000,127.24 kg (9 cx),128.79 kg,121.25 kg,0.00 kg (0 cx)
01/07/2025,00000,134.12 kg (9 cx),127.24 kg,128.79 kg,0.00 kg (0 cx)
02/07/2025,00000,128.47 kg (9 cx),134.12 kg,127.24 kg,0.00 kg (0 cx)
03/07/2025,00000,128.90 kg (9 cx),128.47 kg,134.12 kg,0.00 kg (0 cx)
04/07/2025,00000,127.71 kg (9 cx),128.90 kg,128.47 kg,0.00 kg (0 cx)
05/07/2025,00000,121.78 kg (8 cx),127.71 kg,128.90 kg,0.00 kg (0 cx)
06/07/2025,00000,129.32 kg (9 cx),121.78 kg,127.71 kg,0.00 kg (0 cx)
07/07/2025,00000,127.77 kg (9 cx),129.32 kg,121.78 kg,0.00 kg (0 cx)
08/07/2025,00000,134.66 kg (9 cx),127.77 kg,129.32 kg,0.00 kg (0 cx)
09/07/2025,00000,129.01 kg (9 cx),134.66 kg,127.77 kg,0.00 kg (0 cx)
10/07/2025,00000,129.43 kg (9 cx),129.01 kg,134.66 kg,0.00 kg (0 cx)
11/07/2025,00000,128.25 kg (9 cx),129.43 kg,129.01 kg,0.00 kg (0 cx)
12/07/2025,00000,122.32 kg (8 cx),128.25 kg,129.43 kg,0.00 kg (0 cx)
13/07/2025,00000,129.86 kg (9 cx),122.32 kg,128.25 kg,0.00 kg (0 cx)
14/07/2025,00000,128.31 kg (9 cx),129.86 kg,122.32 kg,0.00 kg (0 cx)
15/07/2025,00000,135.19 kg (9 cx),128.31 kg,129.86 kg,0.00 kg (0 cx)
16/07/2025,00000,129.54 kg (9 cx),135.19 kg,128.31 kg,0.00 kg (0 cx)
17/07/2025,00000,129.97 kg (9 cx),129.54 kg,135.19 kg,0.00 kg (0 cx)
18/07/2025,00000,128.78 kg (9 cx),129.97 kg,129.54 kg,0.00 kg (0 cx)
19/07/2025,00000,122.85 kg (9 cx),128.78 kg,129.97 kg,0.00 kg (0 cx)
20/07/2025,00000,130.39 kg (9 cx),122.85 kg,128.78 kg,0.00 kg (0 cx)
